"attacker_width","Coordination = 0 (35%)","Coordination = 5 (40%)","Coordination = 10 (45%)","Coordination = 15 (50%)","Coordination = 20 (55%)","Coordination = 25 (60%)","Coordination = 30 (65%)","20w pre-NSB rules"
10,710.76,708.42,678.36,711.96,695.2259999999999,687.54,708.2489999999998,701.22
11,684.7176937500003,676.9721699999999,680.7498525,685.9894874999997,685.05468,684.5736450000004,671.9236612499997,648.7561000000006
12,702.6744000000009,681.7788000000007,708.3019999999997,674.6600000000004,698.5612000000002,692.2992000000008,689.8494000000011,677.1800000000003
13,597.8879125000007,605.1748999999996,588.4521750000002,599.9857499999999,594.3886000000003,576.5679499999999,607.2075000000002,539.253333333334
14,657.3688800000004,638.1381599999993,626.1799949999997,641.529,659.1177599999996,645.57228,630.3197249999993,618.9276000000001
15,679.4129999999999,693.25,693.9854999999995,707.41,689.2979999999999,683.47,694.7534999999999,684.25
16,623.85904,633.6320400000002,633.6846400000002,623.2568000000009,638.6939200000003,640.0836800000006,618.7464000000004,580.7861333333341
17,556.4349200000004,558.7659199999996,552.1661599999992,558.9200000000002,542.7167600000007,547.2452800000001,563.4836799999997,471.13439999999986
18,652.735649999999,644.5608000000004,634.0196449999988,645.6190999999998,649.5559100000003,638.6185600000001,644.48335,620.5092000000006
19,605.276173750001,579.0492799999995,597.9786000000003,595.3757500000003,583.8410262499993,590.0917500000006,588.6872687499998,522.8862333333332
20,582.705,574.5,603.69,602.25,636.99,637.68,663.51,684.3
21,547.7496825000002,560.1073200000003,567.1572899999998,591.3749999999995,600.6206400000001,607.4170500000005,624.6819900000003,634.5846000000004
22,489.32351999999986,497.37216,519.8613900000003,543.2952000000001,546.6237600000001,569.2128000000002,575.2916700000001,554.3711999999995
23,450.94096500000006,454.92726000000005,462.13136999999995,478.8060750000004,496.23122999999975,508.0811099999997,516.7100700000001,456.9137999999998
24,586.0904,584.7752,613.885,609.1840000000002,622.6067999999996,638.3912000000008,648.4141999999996,675.1
25,535.903125,549.4975,587.6750937499997,570.4983749999999,584.7974999999999,599.7609999999997,626.9858750000002,614.8483333333342
26,509.72342500000013,540.4319999999999,526.9202500000002,549.4425000000006,561.6469750000003,566.0718,585.366025,554.6100000000001
27,467.9363499999999,507.57740000000035,500.00557500000025,530.5828749999997,535.9661375,550.1313999999998,568.8272187500002,499.7415000000003
28,449.1675999999999,444.5716,457.5003999999998,477.7900000000001,496.30630000000014,495.16779999999994,504.1371999999999,629.2000000000011
29,387.82323749999995,400.0637499999999,419.96983749999987,431.38662500000027,438.62891249999996,441.87330000000014,476.02106875,687.6000000000006
30,558.1420000000002,551.7320000000001,592.293,607.8819999999998,625.0880000000001,642.396,673.9960000000001,714.5
31,513.05107,534.6159200000001,580.1767949999993,589.2223000000005,616.3869200000001,622.9644000000001,665.3835100000003,659.493333333332
32,504.6662400000002,514.8988800000001,546.0422400000002,567.1200000000003,612.4113600000002,629.4195599999999,641.1001199999998,580.0399999999995
33,482.23565499999967,486.92875999999984,523.9128899999993,538.4763999999994,581.9906749999997,589.0367999999997,604.3516600000002,558.0399999999995
34,451.6082799999997,475.12639999999993,500.2825199999999,498.74560000000025,552.310160000001,568.0982400000001,569.67256,467.49333333333294
35,416.1948750000003,446.46300000000025,474.1788750000003,482.2552500000001,517.7580000000003,524.7885000000002,536.6306249999997,667.2
36,394.60456,407.8980800000003,434.8936800000002,440.8552000000003,482.32160000000005,480.16295999999966,500.79531999999983,658.4999999999989
37,496.0308000000001,508.56959999999987,516.3830999999998,542.3550000000001,548.3879999999995,606.3480000000001,645.174,710.7000000000006
38,494.5332,529.3188000000005,542.9610000000007,549.6779999999992,607.0799999999992,621.3840000000005,658.32,727.1999999999997
39,536.4099,549.2015999999992,565.8155999999998,590.9639999999995,608.0879999999999,650.5200000000002,682.484999999999,775.2000000000014
40,541.1699999999998,566.8319999999999,588.546,615.3,665.7749999999988,701.6519999999996,725.2560000000001,791.7
41,529.1081549999998,541.7040599999997,573.70815,626.6436374999995,639.4125000000003,681.2280000000001,708.1514999999998,783.5400000000012
42,498.19562999999994,542.5747199999996,577.0546949999996,609.1535999999998,630.057,647.3639999999999,688.8119999999997,728.16
43,493.20975375000023,527.5092900000001,554.0835337500002,576.4865250000001,614.7044999999999,637.9800000000005,672.2835000000005,686.4599999999997
44,466.33577999999966,502.80671999999964,524.3025600000002,546.0977999999997,594.7072199999999,624.9479999999996,652.0169999999996,656.3400000000005
45,470.5659375,491.63325,519.5295000000002,536.0015624999997,573.1472812500003,604.5719999999995,614.3354999999999,585.3
46,437.1389550000001,477.5245200000004,499.1905800000007,511.21605000000017,550.2784500000001,574.1492999999996,581.9460000000006,544.7400000000017
47,417.3297262500001,441.63018000000005,467.8491487499998,496.38352500000013,513.0421049999994,530.3897999999997,576.1875000000003,655.199999999999
48,404.4611999999998,416.4427200000002,452.5796400000004,481.4688000000005,485.62488000000025,495.1660800000006,558.3375600000007,684.4000000000008
49,400.0328999999999,424.0680000000003,446.0699999999994,488.4749999999997,516.276,558.4349999999988,559.6619999999996,696.7999999999987
