"defender_width","Attacker width = 16","Attacker width = 20","Attacker width = 27","Attacker width = 30","Attacker width = 40","Pre-NSB attacker width = 20","Pre-NSB attacker width = 40"
2,589.3053099999995,557.9051599999922,526.0726440000125,474.14635199996314,516.8640000000419,900.8245104001103,865.7359375999173
3,540.274413311255,524.0299108636864,508.83487321122215,461.4686748187834,503.24177913119996,841.2228770551426,834.4294081249183
4,512.874515199995,504.70340999999604,491.72032200004077,443.1465780000127,494.68800000006195,787.2358271998422,805.3760191998541
5,490.0817340000287,486.0770619999634,478.3075020000223,433.2186959999789,488.3799999999132,745.049166000028,781.373767999849
6,486.04096691999536,483.1723013999567,472.9433822399605,425.57365091999316,481.64765943997594,733.1315366399954,774.0145918401482
7,474.1951916800062,469.9726412999916,462.2263429500117,413.3621473199477,474.5534153300668,700.4750085599582,754.9352049201784
8,444.58825120001853,443.4035063999983,441.05894519996866,390.9336552000015,467.336000000048,636.290764800035,716.6128639999324
9,437.08786592246,429.7788820037791,437.98396675509895,382.689494265001,452.28177118252825,610.9382688000192,701.741795405011
10,423.4399199999542,421.8818800000148,419.5561499999714,378.84284062500296,455.60000000003095,573.2448,676.742
11,459.70162449997997,443.9766135000306,435.41406149992554,380.60164200002123,453.1279760000566,625.8506159999135,706.4489599999425
12,441.59359600000494,425.6115930000019,416.90249699998,370.27184549998117,437.2417980000688,565.9450439999181,669.3717199999437
13,465.6012917500057,443.9250001875127,436.8165564375256,378.9752596875235,450.26640506248197,621.0376035000074,700.5498237498335
14,432.53657199999776,427.70138550003924,404.0686710000582,357.5104158750078,426.1486680000603,530.6008020000266,641.2276760000872
15,454.5463416250156,444.604725,423.08935312489194,372.9449174999903,438.56582812498976,579.249375,671.130275
16,410.7217839999964,404.1441599999896,389.53716678748594,334.29830437500766,427.2000000000787,449.6179199999974,584.147840000068
17,468.74103343750016,418.3385240625092,399.7837823999889,344.4732253125108,412.155177500055,490.4801887499674,608.985361250076
18,482.35024449999884,435.50067375000157,412.66716211873813,356.873283750012,424.87768625005094,537.0729899999719,637.322900000091
19,505.29116593752906,454.451465625003,451.7705540625022,373.39055624997565,439.93482218749523,448.4057099999413,544.4137399999486
20,446.34243999996863,388.2147,380.84691716246897,327.3204824999953,408.7999999999262,437.946,528.164
21,458.6279642499855,444.9474389999682,388.85836724998876,332.1193391249862,385.17771975006036,450.0963869999186,550.760395999876
22,470.5174090000354,454.69870799997767,399.71223686248646,342.1572277500283,398.10120900004233,465.654912000082,576.7646720001269
23,486.2724985000303,464.4980084999839,412.9020640687482,353.8543552500299,409.9630335000446,503.6245350000417,604.4392760000637
24,502.7071599999783,487.0470719999263,430.1815931437525,368.9874292499823,427.0330980000676,442.9627199999441,482.43439999997764
25,428.2651959999362,433.35375,374.295068756189,314.6368781249828,392.7000000000692,432.3525,465.593
26,412.5475600000202,420.5018400000456,362.62759274999695,304.9769081249837,383.3999999999369,420.936900000045,453.1772000000067
27,407.15045331242806,417.3525637499798,358.21638982501827,300.72524812497915,358.5790578125279,419.41697324997256,448.6048700000121
28,418.8111039999992,424.69816200004544,407.05308566255013,308.19337537496637,365.52537499997,434.35089600003624,470.3129240000467
29,430.67226043743557,435.82556062500635,416.2262768062791,317.33769506248825,371.16916156254615,451.393469249906,492.2998047499233
30,445.0706154999401,445.4401125,421.020185100013,326.1216206249809,377.15780750003466,469.434075,518.015075
31,461.583802187512,460.0188886875921,429.25817306254953,373.0518348750609,391.2361146874412,488.2833757498942,544.9295164998932
32,479.0067040000426,470.6991839999061,446.81711399996885,383.0146492499379,406.2180080000127,427.4723999999346,412.6673599999293
33,427.03331199993517,415.23087000006865,417.5415949125181,349.3641562500603,380.2999999999346,413.9776500000681,398.82275000006814
34,420.67480000004974,401.4000599999791,407.366870774931,340.54607812494834,371.0,399.45875999998174,389.33593999996634
35,409.35438399992387,390.60495,398.2049851125075,332.042296875,361.70000000005916,390.01845,383.831
36,400.1435200000032,377.36292000001765,389.8487664187842,323.05659375004393,352.39999999993944,375.20784000001686,381.5709200000329
37,389.66989600006656,369.51017999996117,380.9170713187097,313.0860937499435,343.10000000005965,369.1321799999617,375.4637599999689
38,381.42467199993445,365.66280000003934,368.62459400627176,306.1328437500555,333.7999999999514,363.74466000003844,372.9497600000316
39,371.5601440000428,358.5164399999631,360.17629908744317,293.98321874997026,324.5,359.53097999996305,367.5058999999691
40,363.43376799993797,353.5548,352.9480141500039,286.296609375,315.20000000004046,354.9408,360.344
41,368.47086999998936,356.2647997500355,358.5935545312742,290.4143437500312,364.5547167500297,358.02172649997505,366.90856999997817
42,372.54159999995204,360.06523050004887,365.71924282503335,298.9382812500711,367.9013060000394,367.0364759999818,374.0874919999841
43,381.4992220000593,365.7913349999628,372.50657358745474,306.31584374996174,371.03658762496985,373.4198970000293,380.2476905000239
44,390.5303920000593,370.84739999995236,379.34687077492714,312.6098906249487,375.3735739999626,392.8089119999396,383.9212159999764
45,398.0603739999277,374.28028125,389.69299282500714,321.15196875,381.640484375,413.2888125,399.315875
46,409.40761599990725,388.2414074999779,399.53962394999047,331.81635937498316,388.5000904999913,435.7711500000704,419.9970740000451
47,418.39202200002035,403.45202625003634,409.34714527504093,341.8791562500643,391.861425875041,498.90000000000407,434.8999999999499
48,429.27726400001717,416.33251200003804,417.8495087062939,351.90609375006835,399.6104000000165,489.60000000000286,425.6000000000594
49,510.7000000000963,480.29999999990946,441.0622499999875,358.424999999942,416.2999999999241,480.29999999990946,416.2999999999241
