"defender_width","Attacker width = 16","Attacker width = 20","Attacker width = 27","Attacker width = 30","Attacker width = 40","Pre-NSB attacker width = 20","Pre-NSB attacker width = 40"
2,111.17575757573377,107.66060606058495,104.35471590907983,97.45795454546796,103.05454545455935,108.87272727270573,104.02424242422276
4,64.95761111111104,62.666811066665915,59.4130454666667,52.344962266670386,57.10369653333612,93.71323786666991,92.73744035555453
6,73.27206902403898,72.42065215705614,69.4165218947643,61.91908639636882,69.4705927930933,106.32260125212669,111.28892938535009
8,81.29460954385999,80.88269305263167,79.91675452631003,69.8690141052647,81.6025006666666,115.01667957894286,127.71103045614625
10,90.65491874999174,89.65919583333348,89.13989999999858,78.29495644531266,93.26672604166991,121.53321875000002,142.33951041666666
12,105.25277718894114,101.02048410137924,98.93844884792985,85.67208551267062,102.26602396313378,133.09455622119492,155.97513778801903
14,116.58974557291727,116.08036503906693,109.99328691407256,95.08313759765521,113.41223847656137,141.51126484374575,169.43128723960635
16,129.06840484848658,128.12904999998577,122.07382524431904,105.40942159090841,126.57177727273002,142.31418181818725,181.19049696969475
18,157.22768795605154,138.49928588309805,132.1331455596874,114.77265951492602,136.16674556385865,152.11381169151548,192.3916434493893
20,170.77272058822896,149.89781250000001,148.5787739062538,124.1943467371311,148.17759558823104,168.22720588235293,201.71323529411765
22,176.23894710145578,170.78211902174817,153.2536368817942,131.66931827445586,152.4146108695645,175.39931304349793,215.20454202900348
24,188.16099836734168,187.02311632649884,163.6003366033132,140.28344479591962,163.67397428570928,190.3491869387572,219.91269877550732
26,196.14275095573373,192.8240831740757,170.68941896377518,145.26362203219685,167.8975717303861,200.98741569413974,235.8595933601273
28,206.14988708920623,209.84708098592344,204.15816275529707,156.01038644366037,187.98297558685016,213.7483211267703,234.43135586854777
30,215.63931140046134,216.14298177083333,208.30485572048025,162.05381597222117,192.31645978009868,226.29006944444444,251.75767939814816
32,226.52798888890223,228.06946666666727,231.81560869270405,197.07152031249183,209.67851111111287,227.1759333333342,234.101511111116
34,229.01056750000197,233.76894863013638,235.4592543955501,200.81550667808997,213.72091352740142,240.8347623287673,250.4701260273773
36,238.4820371233016,245.29550136986228,242.70828388869992,208.04739503425316,221.79332123288134,259.79321917808284,273.0026493150592
38,256.14842253425536,258.7634219178098,252.7220785222658,218.63368767122603,231.480065924656,271.47100684929933,284.70841780818654
40,264.3493891891902,259.7635135135135,262.2579106102106,216.54739231418918,242.667581081079,260.06635135135133,273.46837837837836
42,273.6462407094635,265.05619003382213,269.60940520059484,223.6666716638961,276.256376689222,270.3220094594812,282.06288986489784
44,282.5837195945959,272.2142391891867,279.2060952871576,232.89143095436216,283.55900608109494,287.56735135135796,291.89029189192973
46,294.74078834458777,284.21334375002635,291.28405944677314,245.29657385980641,290.538156925732,313.1144493243593,314.10430270272906
48,303.9379306666607,298.28488000003733,300.76736654376134,254.19897112503367,297.2385173333663,351.47349333334137,364.6381511110733
