"attacker_width","hills (80)","forest/jungle (84)","plains/desert (90)","marsh (78)","urban (96)","mountain (75)"
12,415.967860900013,542.8686405714262,475.9727493999707,383.39991815386327,525.9773372499429,331.6731891199851
13,354.2672386624485,480.3411761785694,522.3372368499739,408.5245979999392,471.1256711249465,369.51332327996585
14,397.6804309500055,534.1152351428093,458.0191635999565,371.3861423076811,507.8699101250011,323.5026148800246
15,351.8817131250181,485.90564732146123,526.4906850000149,320.6605569231044,444.62155453124103,385.2140249999515
16,428.9042319999367,425.4063497143058,481.0676190000146,398.44379692312856,530.626583999995,345.4288407999406
17,391.3749006249565,511.4764988392514,423.9276197999646,352.4877284615004,485.5065019687464,302.1604208000105
18,340.96991974996445,477.3518242856717,521.8140529999878,305.62461230767474,427.2243480000039,263.21197380002536
19,294.1902472812972,435.15295973217843,487.89873424995307,267.116033269239,362.67823237499874,386.71721364002195
20,433.3443,384.1083285714789,448.481875,404.69233769237536,503.064841874959,358.5735
21,405.6504863249347,502.5023214285301,401.9753302500128,376.64954142305453,465.32359882809,325.0344608399729
22,375.935299300043,467.9424594285897,488.66268400001337,341.60797000000497,423.2361828125,287.11704183999433
23,338.6109019500184,442.51035399994896,495.2511234000043,303.1366226923058,373.111708203125,341.03341799999964
24,300.152969199982,413.5353674286196,469.9341330000405,364.2362099999795,518.5664527499549,360.5874299999793
25,340.7195399999904,336.0213421428412,392.5107624999922,341.5282349999894,440.9798771875105,340.85116499998946
26,363.6746640000515,402.59186228566574,360.25850279997445,363.37545000005196,412.3110852500199,325.2659043600185
27,373.65873253119037,427.52601685716724,323.43470940000594,346.98278451924745,383.4318834374837,306.6745644000089
28,356.69066759999833,449.92280314283056,409.28173200000174,328.36637861540095,352.3801219999958,285.0509092800066
29,335.9520447000255,432.6469656428136,431.37341999998046,306.4188731538713,316.4343537500161,261.10335923999816
30,314.3363118749816,413.75052107145154,451.2676950000067,283.075746923128,417.7103418749981,234.77114700003983
31,290.43533546247977,393.8929487678457,436.1037592499992,258.53590973078894,440.30861212501304,251.38637099998547
32,264.1223904000082,371.98707771431503,419.5642410000081,263.25319600000194,461.58150900002227,263.0620420000023
33,276.2721230000154,344.89292946427327,401.7719141999876,275.8206230000145,447.26102343751126,278.2078400000164
34,290.53163799999106,317.6037996428867,379.4745935999929,289.79209599999206,430.9892398125303,289.86729399999115
35,303.7671349999573,350.91142142857205,351.32537250001394,304.0013899999568,409.20355664063237,302.5148299999571
36,317.1953519999797,367.72198714285315,327.63250979998145,316.9926899999796,390.8161923750421,316.69914599998054
37,330.1305910000629,385.31298142855576,334.9482550000484,329.8201210000623,367.2949497187293,329.3644750000626
38,361.9799999999831,381.42462857144557,345.7824659999856,361.9799999999831,347.4416943750469,349.49040000000923
39,377.33999999995416,397.17278571427687,357.4881809999554,377.33999999995416,321.76134356247053,339.30959999994076
40,392.7000000000692,413.2657285714039,371.64729000003234,367.5923076923667,346.9253100000262,327.1800000000465
41,382.9890000000357,428.6914714285124,386.902350000048,355.92461538457144,361.5693356250489,314.30159999992844
42,371.3760000000575,443.2045842857038,401.81241000005195,344.73692307700264,373.66342837503885,300.6743999999403
43,359.06100000008433,432.8942357143149,416.7485550000156,330.42923076919305,386.6134050000565,285.0984000000151
44,346.04400000008627,422.03051999997683,431.9240549999823,316.6015384615967,398.59653074999335,268.773599999966
45,332.32500000004796,409.4962200000643,447.8229599999368,300.8538461538338,412.8287287499266,250.5
46,316.7039999999468,396.87728571433337,439.7941050000191,283.18615384618715,425.39200687496674,127.31999999999292
47,300.38100000004215,382.2446614285445,427.60736999999943,265.99846153846016,441.7606837499785,129.98999999999188
48,282.1559999999678,369.77683285719485,415.66477500004294,132.65999999999084,456.8910581250462,132.65999999999084
49,136.02000000001416,350.7124242857203,403.0082249999515,136.02000000001416,448.623056249987,136.02000000001416
