"attacker_width","hills + 1 (120)","forest/jungle + 1 (126)","plains/desert + 1 (135)","marsh + 1 (104)","urban + 1 (128)","mountain + 1 (100)","hills/urban + 2 (160)","forest/jungle + 2 (168)","plains/desert + 2 (180)","marsh + 2 (130)","mountain + 2 (125)"
12,672.3433240000032,694.2960674285987,737.4444923999949,569.106190615388,708.9773113124994,530.412775199997,882.8215811999984,952.8186679999983,1022.9935859999944,730.370102861554,681.5251363519968
13,596.2394727499935,699.3312928571409,733.0776521999977,587.3269636153855,716.7183679296845,557.2557760799999,869.5870843218814,937.7211635446403,1005.9020721500212,730.9661406923118,692.2271730000016
14,622.7342756999886,723.0841062857169,752.4063349999732,534.1552827692348,636.0692940625129,492.0539280399848,864.340128300006,939.913554000001,998.7541683000751,663.2481237692298,710.5925379840004
15,660.4837799999973,650.8805335714442,779.5760850000195,577.5184741105784,670.8570986718744,541.9428362500006,888.0049433437509,855.0681621428633,1004.0101049999906,688.8668134615389,640.8915263999941
16,603.1660256000002,702.8440454285702,715.8250440000008,525.6583518461133,717.3921415000174,483.84788448000944,914.081759000011,878.7243377142867,916.8910559999921,623.374286769226,691.7668472960181
17,542.5034568000103,642.8210826428588,763.5631029000016,466.9778524567347,666.2717389374915,558.1860969600052,848.3413646562489,917.1140655356959,957.2959991999987,682.9543105230733,633.6335919759897
18,597.8808707999963,683.5996002856629,687.8989800000141,532.2263869615249,582.6081397500013,499.50273647999,864.2674780499976,824.5230610714137,960.914555999965,605.1704305846131,676.7989282560006
19,552.7250670000099,637.782413035716,628.7270097999416,497.0145932596246,659.6842495312467,454.5796733399842,805.9622172093709,877.8900605625086,902.6274134999996,674.6348986384627,632.3823492240004
20,631.2808200000111,589.4443114285825,709.530036000008,446.3272592307701,611.1846468749807,546.1516751999299,876.9988949999702,822.1849992857217,963.865199999946,629.8474352307747,581.0883117599736
21,597.6740945250283,680.1305879999964,663.9201294000087,549.274650865376,557.0833552382666,517.9600223250009,827.1863518499953,891.4544700000005,907.7019294749973,580.5190287692313,672.7101519480001
22,553.2800090999979,641.3057537143064,608.5553524000015,519.0187309615438,660.2622683437562,480.1027896000091,768.8111853000013,843.2751895714208,839.2220951999706,677.4926335384739,635.4284861039941
23,510.1696535249834,602.9303057142873,720.9157680000937,482.70104271634733,620.7527296171629,442.0120751250049,867.8440319999978,791.5200325714384,939.559046699975,642.5172235846076,592.8370000199951
24,626.2477200000391,562.3236359999877,682.7584968000006,449.59142153847364,581.0559817500047,402.545140400017,818.7560947999913,885.0478560000278,883.7289000000048,603.1130904923202,547.2929600639935
25,602.1603312499801,509.61784714286307,639.0756359999913,405.56616930289,535.7956162500105,540.0766624000378,775.7968145000104,850.8473575000057,828.2296675000046,558.8360898461575,673.1603403200035
26,567.4903222499871,647.7892171428605,590.6535108000028,547.7443000000028,666.2614543750029,517.0463403999988,720.0640916499954,802.2697357500059,942.8522789999924,680.2375164615421,640.2268481599743
27,534.0556554375027,624.3053807142866,735.9994720000145,527.7211584615297,639.9567936132776,491.9902072000115,855.6769260000317,755.0974132499936,901.4771461499975,658.8714558653619,612.750465920006
28,496.97330800000356,589.0227528571509,707.1386120000044,502.91288876920555,606.407772812495,465.1025322400222,818.0784389999952,889.7087400000049,859.6498704000015,629.1773366153869,578.9915585599841
29,455.6078023124855,549.4697278571396,674.2305459999968,474.7399329423136,570.1213142187524,436.0354918800061,780.5554230000024,856.3742228570974,807.911066450008,594.4150346923417,541.1868522000044
30,632.9007799999957,520.2120271428682,643.1473920000042,455.73301153843676,543.7619345312854,410.6484227999822,743.7089099999787,825.062088214263,961.0200000000002,565.2931910769272,508.81128672000756
31,613.5862000000232,670.0843528571435,606.3145659999972,424.866239653844,502.03127138671533,498.3412295999569,698.0534922374999,786.5064957321248,927.4109999999985,526.3531321730758,672.0708900799804
32,590.3956799999627,670.9694728571598,568.4193599999982,503.64825461536896,690.6053450000302,520.5277343999833,876.767397999977,743.5097725714103,893.4932399999883,681.7444667692615,665.4858571200018
33,564.6806720999904,650.7352128571468,724.6659980000005,524.8098092307732,668.4212331250245,542.56955519999,850.7110879999956,696.128829749971,851.7675165000053,683.5994932307209,644.2721993599895
34,536.7107279999823,628.261504285712,738.7675639999892,547.7205715384965,646.6646887499813,537.3229535999752,823.3276289999612,892.7506228571172,811.7126928000101,664.1398138461728,618.2658078399829
35,506.92332750001066,599.0268257142475,717.646740000004,555.179702307668,619.5517950000035,522.2949360000381,787.5496320000092,868.5666000000203,766.5751800000105,641.0049830769108,590.750101120022
36,489.43572360000957,579.9102514285761,698.1960960000064,547.4216469231144,601.6009293749726,510.50828519999163,759.3649860000615,844.5447214285529,977.3210099999986,625.2215353846426,567.1652858399709
37,585.4364400000717,548.7315419999676,672.6173319999413,529.8407976922263,572.3745543750373,490.9582775999911,723.5534339999964,814.0376271428776,951.0542400000106,594.1158087692576,538.7567936879823
38,604.9367399999263,513.9079654285413,647.1801599999727,510.06951692309764,541.1200698750121,471.37963200006243,680.6973127499951,774.3121371428776,921.9726900000007,565.7899587692435,503.8894600800172
39,627.4348799999508,632.925908571367,614.9794439999899,491.3397669230801,507.23505923436227,447.56482800001885,639.171557249997,739.208268348241,893.3624100000175,533.4858248769473,635.350554720035
40,647.1875999999646,651.6076371428542,585.2548119999951,468.50584384616224,645.517143749985,421.7414159999808,887.7861270000035,699.2217900000021,860.5972199999921,638.4402110769105,655.8127583999893
41,634.5978000000722,675.8164414285632,550.9947539999893,447.59611846152654,669.0081543750257,433.70479080000075,871.0363830000344,889.5828900000201,826.8604499999972,662.762849999992,678.5521996800767
42,628.6334999999708,701.7119485714065,695.2689119999909,435.50718605768674,695.6208037500403,451.4611120000597,853.1928099999968,923.3373200000385,799.6085699999983,687.8310341538355,689.1772459200552
43,611.9328600000026,684.9045257142319,715.3372200000105,453.90087153845656,704.8408668749192,465.1390207999968,830.0425999999812,902.5241057142533,755.7962996250329,708.9056676923905,677.0833641600015
